0 length 9073;
0 note 81 100;
16 note 69 100;
22 note 72 100;
27 note 76 100;
28 note 79 100;
45 note 74 100;
86 note 77 100;
272 note 69 0;
278 note 72 0;
283 note 79 0;
293 note 76 0;
294 note 81 0;
298 note 77 0;
310 note 74 0;
365 note 60 100;
376 note 65 100;
403 note 62 100;
409 note 64 100;
412 note 69 100;
465 note 64 0;
744 note 83 100;
749 note 62 0;
751 note 60 0;
756 note 69 0;
761 note 76 100;
770 note 65 0;
773 note 72 100;
774 note 79 100;
1085 note 64 100;
1098 note 72 0;
1115 note 76 0;
1136 note 79 0;
1145 note 60 100;
1151 note 83 0;
1153 note 71 100;
1162 note 83 100;
1175 note 68 100;
1181 note 83 0;
1429 note 60 0;
1442 note 68 0;
1460 note 71 0;
1479 note 64 0;
1527 note 77 100;
1532 note 72 100;
1538 note 75 100;
1544 note 81 100;
1546 note 83 100;
1876 note 83 0;
1915 note 81 0;
1920 note 68 100;
1929 note 77 0;
1934 note 64 100;
1935 note 75 0;
1941 note 60 100;
1946 note 71 100;
1950 note 72 0;
1954 note 72 100;
1955 note 72 0;
2201 note 64 0;
2219 note 60 0;
2231 note 68 0;
2275 note 83 100;
2288 note 79 100;
2294 note 76 100;
2296 note 72 100;
2309 note 71 0;
2614 note 60 100;
2631 note 64 100;
2632 note 72 0;
2645 note 71 100;
2650 note 67 100;
2656 note 76 0;
2661 note 79 0;
2663 note 83 0;
2957 note 71 0;
2967 note 60 0;
3006 note 67 0;
3015 note 64 0;
3021 note 72 100;
3032 note 73 100;
3105 note 69 100;
3116 note 73 0;
3126 note 72 0;
3192 note 64 100;
3200 note 67 100;
3236 note 60 100;
3242 note 71 100;
3248 note 69 0;
3291 note 73 100;
3321 note 67 0;
3380 note 60 0;
3385 note 71 0;
3386 note 64 0;
3391 note 75 100;
3408 note 74 100;
3428 note 68 100;
3460 note 64 100;
3476 note 73 0;
3544 note 60 100;
3590 note 77 100;
3601 note 76 100;
3615 note 75 0;
3644 note 67 100;
3671 note 60 0;
3709 note 68 0;
3767 note 79 100;
3801 note 74 0;
3862 note 77 0;
3868 note 79 0;
3873 note 79 100;
3882 note 79 0;
3901 note 77 100;
3947 note 81 100;
4089 note 77 0;
4119 note 76 0;
4125 note 81 0;
4126 note 64 0;
4130 note 67 0;
4166 note 60 100;
4183 note 76 100;
4184 note 79 100;
4190 note 83 100;
4194 note 72 100;
4244 note 71 100;
4263 note 76 0;
4281 note 79 0;
4302 note 83 0;
4334 note 60 0;
4369 note 71 0;
4397 note 68 100;
4398 note 72 0;
4419 note 67 100;
4430 note 73 100;
4432 note 72 100;
4435 note 79 100;
4438 note 71 100;
4472 note 67 0;
4483 note 68 0;
4486 note 72 0;
4489 note 60 100;
4492 note 69 100;
4504 note 72 100;
4539 note 64 100;
4541 note 72 0;
4543 note 75 100;
4558 note 69 0;
4562 note 71 0;
4569 note 76 100;
4580 note 64 0;
4593 note 69 100;
4612 note 60 0;
4619 note 72 100;
4622 note 75 0;
4623 note 73 0;
4630 note 76 0;
4648 note 71 100;
4653 note 65 100;
4654 note 66 100;
4658 note 79 0;
4670 note 69 0;
4688 note 60 100;
4694 note 65 0;
4699 note 66 0;
4734 note 77 100;
4738 note 79 100;
4744 note 67 100;
4746 note 77 0;
4752 note 75 100;
4762 note 75 0;
4771 note 73 100;
4786 note 75 100;
4787 note 65 100;
4800 note 74 100;
4804 note 75 0;
4811 note 71 0;
4814 note 63 100;
4817 note 77 100;
4833 note 67 0;
4847 note 74 0;
4863 note 73 0;
4869 note 75 100;
4875 note 67 100;
4894 note 63 0;
4911 note 60 0;
4917 note 77 0;
4924 note 60 100;
4925 note 63 100;
4940 note 81 100;
4946 note 65 0;
4946 note 76 100;
4950 note 75 0;
4954 note 79 0;
4957 note 67 0;
4962 note 78 100;
4965 note 72 0;
4968 note 76 0;
4980 note 77 100;
4999 note 74 100;
5016 note 80 100;
5025 note 74 0;
5042 note 81 0;
5067 note 76 100;
5092 note 67 100;
5113 note 60 0;
5117 note 78 0;
5124 note 63 0;
5149 note 77 0;
5155 note 74 100;
5159 note 80 0;
5175 note 74 0;
5179 note 75 100;
5182 note 66 100;
5185 note 67 0;
5189 note 76 0;
5203 note 60 100;
5213 note 72 100;
5231 note 73 100;
5232 note 75 0;
5235 note 66 0;
5243 note 69 100;
5266 note 79 100;
5275 note 72 0;
5288 note 73 0;
5294 note 71 100;
5295 note 72 100;
5301 note 66 100;
5310 note 63 100;
5316 note 60 0;
5324 note 79 0;
5331 note 69 0;
5337 note 79 100;
5391 note 65 100;
5405 note 72 0;
5408 note 75 100;
5413 note 67 100;
5424 note 66 0;
5425 note 66 100;
5429 note 71 0;
5432 note 66 0;
5434 note 60 100;
5438 note 75 0;
5440 note 77 100;
5445 note 65 0;
5470 note 75 100;
5496 note 67 0;
5500 note 63 0;
5508 note 79 0;
5519 note 77 0;
5519 note 74 100;
5526 note 76 100;
5542 note 69 100;
5547 note 75 0;
5549 note 78 100;
5551 note 78 0;
5560 note 77 100;
5577 note 76 0;
5579 note 69 0;
5590 note 68 100;
5599 note 80 100;
5609 note 74 0;
5616 note 76 100;
5617 note 71 100;
5649 note 68 0;
5659 note 60 0;
5664 note 76 0;
5681 note 68 100;
