0 length 1364;
0 note 79 100;
14 note 76 100;
14 note 72 100;
29 note 83 100;
29 note 83 0;
44 note 72 0;
59 note 76 0;
59 note 79 0;
119 note 79 100;
119 note 83 100;
119 note 76 100;
119 note 72 100;
239 note 72 0;
254 note 76 0;
269 note 79 0;
269 note 83 0;
524 note 79 100;
524 note 72 100;
539 note 83 100;
539 note 76 100;
584 note 72 0;
584 note 76 0;
584 note 83 0;
599 note 79 0;
629 note 72 100;
644 note 79 100;
644 note 76 100;
644 note 83 100;
779 note 72 0;
779 note 72 100;
779 note 83 0;
779 note 72 0;
794 note 76 0;
794 note 79 0;
