0 length 509;
0 note 62 100;
74 note 62 0;
74 note 64 100;
89 note 60 100;
119 note 65 100;
119 note 64 0;
149 note 67 100;
149 note 65 0;
179 note 69 100;
194 note 67 0;
209 note 71 100;
224 note 69 0;
254 note 72 100;
269 note 71 0;
284 note 74 100;
284 note 72 0;
314 note 76 100;
314 note 74 0;
344 note 77 100;
344 note 76 0;
374 note 79 100;
374 note 77 0;
404 note 81 100;
419 note 79 0;
419 note 60 0;
479 note 83 100;
509 note 83 0;
509 note 81 0;
