0 length 1184;
0 note 76 100;
0 note 79 100;
14 note 81 100;
44 note 76 0;
59 note 79 0;
74 note 81 0;
74 note 81 100;
89 note 76 100;
104 note 83 100;
104 note 79 100;
209 note 83 0;
209 note 83 100;
209 note 83 0;
224 note 76 0;
224 note 79 0;
224 note 81 0;
509 note 76 100;
509 note 79 100;
524 note 81 100;
524 note 83 100;
554 note 79 0;
569 note 76 0;
569 note 83 0;
569 note 81 0;
599 note 76 100;
599 note 81 100;
614 note 83 100;
614 note 79 100;
764 note 81 0;
764 note 79 0;
764 note 76 0;
779 note 83 0;
