0 length 1174;
0 note 76 100;
8 note 81 100;
199 note 76 0;
205 note 81 0;
222 note 60 100;
227 note 62 100;
314 note 72 100;
319 note 77 100;
388 note 62 0;
476 note 60 0;
481 note 60 100;
487 note 60 0;
518 note 60 100;
537 note 72 0;
544 note 77 0;
549 note 64 100;
630 note 72 100;
633 note 77 100;
762 note 72 0;
775 note 77 0;
832 note 76 100;
837 note 71 100;
842 note 64 0;
869 note 60 0;
961 note 71 0;
966 note 76 0;
1019 note 74 100;
1024 note 69 100;
