0 length 3929;
0 note 71 100;
89 note 72 100;
104 note 71 0;
179 note 72 0;
179 note 74 100;
254 note 74 0;
509 note 77 100;
644 note 77 0;
674 note 72 100;
734 note 74 100;
779 note 74 0;
794 note 72 0;
869 note 71 100;
1109 note 71 0;
1169 note 69 100;
1304 note 69 0;
1409 note 65 100;
1634 note 65 0;
1679 note 66 100;
1859 note 66 0;
1949 note 67 100;
2369 note 67 0;
2489 note 67 100;
2699 note 69 100;
2699 note 67 0;
2774 note 67 100;
2774 note 69 0;
