0 length 601;
0 note 65 100;
68 note 60 100;
78 note 67 100;
81 note 65 0;
137 note 71 100;
144 note 69 100;
153 note 71 0;
154 note 67 0;
175 note 72 100;
199 note 72 0;
204 note 71 100;
212 note 69 0;
221 note 74 100;
268 note 74 0;
270 note 72 100;
274 note 76 100;
284 note 71 0;
331 note 76 0;
336 note 77 100;
337 note 74 100;
350 note 72 0;
374 note 79 100;
382 note 77 0;
385 note 76 100;
399 note 74 0;
422 note 81 100;
443 note 79 0;
448 note 77 100;
461 note 76 0;
475 note 83 100;
490 note 81 0;
491 note 79 100;
518 note 77 0;
539 note 60 0;
549 note 83 0;
574 note 81 100;
579 note 79 0;
593 note 81 0;
